基金代码,基金全称,基金简称,基金类型,发行日期,成立日期/规模,资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,最高申购费率,最高赎回费率,业绩比较基准,跟踪标的
011978,格林研究优选混合型证券投资基金,格林研究优选混合C,混合型-偏股,2021年07月26日,2021年08月19日 / 4.190亿份,0.16亿元,0.1336亿份,格林基金,交通银行,郑中华,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*75%+中债综合财富指数收益率*25%,该基金无跟踪标的
012034,广发睿盛混合型证券投资基金,广发睿盛混合C,混合型-偏股,2021年09月08日,2021年09月27日 / 4.921亿份,0.56亿元,0.5009亿份,广发基金,交通银行,观富钦,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,该基金无跟踪标的
012040,鹏华中证信息技术指数型证券投资基金(LOF),鹏华中证信息技术指数(LOF)C,指数型-股票,2014年04月03日,2021年04月14日 / --,0.24亿元,0.1655亿份,鹏华基金,建设银行,罗英宇,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.10%（每年）,---,0.00%,1.50%,中证信息技术指数收益率*95%+商业银行活期存款利率(税后)*5%,中证信息技术指数
012074,华安均衡优选混合型证券投资基金,华安均衡优选混合C,混合型-偏股,2021年09月16日,2021年10月26日 / 11.093亿份,0.41亿元,0.364亿份,华安基金,工商银行,高钥群,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*65%+中证港股通综合指数收益率*15%+中债综合全价指数收益率*20%,该基金无跟踪标的
012081,易方达中证500指数量化增强型证券投资基金,易方达中证500指数量化增强C,指数型-股票,2021年05月14日,2021年06月15日 / 10.890亿份,4.59亿元,3.8982亿份,易方达基金,工商银行,官泽帆、刘文贵,每份累计0.00元,0.80%（每年）,0.15%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证500指数收益率×95%+活期存款利率(税后)×5%,中证500指数
012083,博时数字经济混合型证券投资基金,博时数字经济混合C,混合型-偏股,2021年04月22日,2021年06月18日 / 7.217亿份,1.11亿元,0.842亿份,博时基金,建设银行,肖瑞瑾,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合财富(总值)指数收益率*20%,该基金无跟踪标的
012120,工银瑞信核心优势混合型证券投资基金,工银核心优势混合C,混合型-偏股,2021年06月07日,2021年06月24日 / 34.874亿份,0.88亿元,0.8994亿份,工银瑞信基金,中国银行,鄢耀,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*65%+恒生指数收益率(经汇率调整)*15%+中债综合财富(总值)指数收益率*20%,该基金无跟踪标的
012125,博道盛彦混合型证券投资基金,博道盛彦混合C,混合型-偏股,2021年05月18日,2021年06月01日 / 5.938亿份,11.08亿元,8.6508亿份,博道基金,邮储银行,张建胜,每份累计0.00元,1.20%（每年）,0.10%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*15%+中债综合全价(总值)指数收益率*25%,该基金无跟踪标的
012131,景顺长城先进智造混合型证券投资基金,景顺长城先进智造混合C,混合型-偏股,2021年08月06日,2021年08月23日 / 32.416亿份,2.36亿元,2.1144亿份,景顺长城基金,工商银行,董晗,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*65%+中证港股通综合指数(人民币)收益率*15%+中证综合债券指数收益率*20%,该基金无跟踪标的
012154,博时研究慧选混合型证券投资基金,博时研究慧选混合C,混合型-偏股,2021年05月24日,2021年06月08日 / 7.989亿份,1.35亿元,0.8371亿份,博时基金,工商银行,吴鹏,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×60%+中证港股通综合指数收益率×10%+中债综合财富(总值)指数收益率×30%,该基金无跟踪标的
012180,浦银安盛创业板交易型开放式指数证券投资基金联接基金,浦银安盛创业板ETF联接C,指数型-股票,2021年09月28日,2021年12月29日 / 2.161亿份,0.41亿元,0.4087亿份,浦银安盛基金,工商银行,高钢杰、宋施怡,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,创业板指数收益率*95%+银行活期存款利率(税后)*5%,创业板指数(价格)
012181,中银智能制造股票型证券投资基金,中银智能制造股票C,股票型,2015年06月08日,2021年05月14日 / --,1.54亿元,0.6094亿份,中银基金,中信银行,周斌,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,中证装备产业指数收益率*80%+中债综合指数收率*20%,该基金无跟踪标的
012213,天弘中证高端装备制造指数增强型证券投资基金,天弘中证高端装备制造指数增强C,指数型-股票,2021年10月11日,2021年12月28日 / 2.188亿份,1.05亿元,0.8461亿份,天弘基金,招商银行,林心龙,每份累计0.00元,0.60%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证高端装备制造指数收益率*95%+银行活期存款税后利率*5%,中证高端装备制造指数
012222,瑞达行业轮动混合型证券投资基金,瑞达行业轮动混合C,混合型-偏股,2021年04月30日,2021年06月09日 / 2.003亿份,0.12亿元,0.1037亿份,瑞达基金,华福证券,袁忠伟、张锡莹,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的
012228,景顺长城港股通全球竞争力混合型证券投资基金,景顺长城港股通全球竞争力C,混合型-偏股,2021年07月21日,2021年08月12日 / 8.820亿份,2.02亿元,2.1006亿份,景顺长城基金,招商银行,周寒颖、张飞鹏,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证港股通综合指数(人民币)收益率*75%+沪深300指数收益率*10%+中债综合全价(总值)指数收益率*15%,该基金无跟踪标的
012298,东兴宸瑞量化混合型证券投资基金,东兴宸瑞量化混合C,混合型-偏股,2021年05月28日,2021年06月30日 / 2.369亿份,0.07亿元,0.0568亿份,东兴基金,浙商银行,张旭、李兵伟,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*80%+中债综合指数收益率*20%,该基金无跟踪标的
012320,西藏东财国证消费电子主题指数增强型发起式证券投资基金,东财消费电子增强C,指数型-股票,2021年09月15日,2021年10月11日 / 1.065亿份,1.69亿元,1.3561亿份,东财基金,光大证券,杨路炜,每份累计0.00元,1.20%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,国证消费电子主题指数收益率*95%+银行活期存款利率(税后)*5%,国证消费电子主题指数
012322,西藏东财中证云计算与大数据主题指数增强型发起式证券投资基金,东财云计算增强C,指数型-股票,2021年07月28日,2021年08月11日 / 3.208亿份,4.61亿元,3.0026亿份,东财基金,国信证券,杨路炜,每份累计0.00元,1.20%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证云计算与大数据主题指数收益率*95%+银行活期存款利率(税后)*5%,中证云计算与大数据主题指数
012343,广发瑞泽精选混合型证券投资基金,广发瑞泽精选混合C,混合型-偏股,2021年10月21日,2021年11月02日 / 9.416亿份,1.18亿元,0.9798亿份,广发基金,中国银行,费逸,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*55%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*25%,该基金无跟踪标的
012429,华夏核心制造混合型证券投资基金,华夏核心制造混合C,混合型-偏股,2021年06月04日,2021年06月22日 / 71.101亿份,6.35亿元,4.7867亿份,华夏基金,工商银行,顾鑫峰,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.70%（每年）,0.00%,0.00%,1.50%,申银万国制造业指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,该基金无跟踪标的
012455,淳厚鑫悦商业模式优选混合型证券投资基金,淳厚鑫悦混合C,混合型-偏股,2021年10月08日,2021年10月22日 / 4.060亿份,0.40亿元,0.3834亿份,淳厚基金,兴业银行,廖辰轩,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*50%+中证港股通综合指数(人民币)收益率*20%+中债综合全价(总值)指数收益率*30%,该基金无跟踪标的
012457,鹏扬数字经济先锋混合型证券投资基金,鹏扬数字经济先锋混合C,混合型-偏股,2021年08月23日,2021年09月07日 / 10.365亿份,2.70亿元,2.718亿份,鹏扬基金,招商银行,张勋、章宏帆,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证数字经济主题指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,该基金无跟踪标的
012492,华商核心引力混合型证券投资基金,华商核心引力混合C,混合型-灵活,2021年07月12日,2021年07月28日 / 17.362亿份,4.88亿元,3.719亿份,华商基金,农业银行,叶峰,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*50%+中证港股通综合指数收益率*10%+中债总全价指数收益率*40%,该基金无跟踪标的
012501,博时汇荣回报灵活配置混合型证券投资基金,博时汇荣回报混合C,混合型-灵活,2021年06月01日,2021年08月24日 / 9.168亿份,0.64亿元,0.5115亿份,博时基金,招商银行,吴渭,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*45%+中证港股通综合指数(CNY)收益率*15%+中债综合财富(总值)指数收益率*40%,该基金无跟踪标的
012520,大成核心趋势混合型证券投资基金,大成核心趋势混合C,混合型-偏股,2021年06月07日,2021年06月30日 / 35.450亿份,1.48亿元,1.0385亿份,大成基金,中信银行,韩创,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*60%+恒生指数收益率*10%+中证综合债券指数收益率*30%,该基金无跟踪标的
012551,华宝中证电子50交易型开放式指数证券投资基金发起式联接基金,华宝中证电子50ETF联接C,指数型-股票,2021年07月13日,2021年07月19日 / 0.377亿份,0.19亿元,0.1445亿份,华宝基金,建设银行,蒋俊阳、曹旭辰,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,中证电子50指数收益率*95%+人民币银行活期存款利率(税后)*5%,中证电子50指数
012553,天弘中证芯片产业交易型开放式指数证券投资基金发起式联接基金,天弘中证芯片产业ETF发起式联接C,指数型-股票,2021年07月05日,2021年07月21日 / 0.653亿份,8.47亿元,7.0833亿份,天弘基金,光大证券,洪明华,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,中证芯片产业指数收益率*95%+银行活期存款利率(税后)*5%,中证芯片产业指数
012555,西部利得创业板大盘交易型开放式指数证券投资基金联接基金,西部利得创业板大盘ETF联接C,指数型-股票,2021年11月12日,2021年12月01日 / 2.383亿份,1.82亿元,1.7836亿份,西部利得基金,农业银行,童国林、祁威、周平,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,创业板大盘指数收益率*95%+银行活期存款利率(税后)*5%,创业板大盘指数
012589,南方港股通优势企业混合型证券投资基金,南方港股通优势企业混合C,混合型-偏股,2021年07月05日,2021年07月21日 / 42.072亿份,4.40亿元,3.4215亿份,南方基金,交通银行,骆帅,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,经人民币汇率调整的恒生综合指数收益率*60%+中证800指数收益率*10%+上证国债指数收益率*30%,该基金无跟踪标的
012628,华夏大盘精选证券投资基金,华夏大盘精选混合C,混合型-灵活,2021年06月15日,2021年06月15日 / --,1.12亿元,0.0586亿份,华夏基金,中国银行,屠环宇,每份累计0.45元,1.20%（每年）,0.20%（每年）,0.50%（每年）,---,0.00%,1.50%,新华富时中国A200指数*80%+新华富时中国国债指数*20%,该基金无跟踪标的
012630,广发国证半导体芯片交易型开放式指数证券投资基金联接基金,广发国证半导体芯片ETF联接C,指数型-股票,2021年07月12日,2021年08月09日 / 5.549亿份,12.62亿元,11.3565亿份,广发基金,工商银行,曹世宇,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,国证半导体芯片指数收益率*95%+活期存款利率(税后)*5%,国证半导体芯片指数
012651,博时半导体主题混合型证券投资基金,博时半导体主题混合C,混合型-偏股,2021年06月28日,2021年07月20日 / 7.484亿份,6.50亿元,4.8258亿份,博时基金,交通银行,肖瑞瑾,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,中证全指半导体产品与设备指数收益率*60%+中证港股通综合指数(CNY)收益率*20%+中债综合财富(总值)指数收益率*20%,该基金无跟踪标的
012672,嘉实核心蓝筹混合型证券投资基金,嘉实核心蓝筹混合C,混合型-偏股,2021年07月08日,2021年07月23日 / 20.141亿份,1.11亿元,0.9788亿份,嘉实基金,工商银行,肖觅,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富指数收益率*20%,该基金无跟踪标的
012697,同泰数字经济主题股票型证券投资基金,同泰数字经济股票C,股票型,2021年07月07日,2021年07月26日 / 2.346亿份,1.83亿元,1.6227亿份,同泰基金,国投证券,陈宗超,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证沪港深数字经济主题指数收益率*80%+中证全债指数收益率*20%,该基金无跟踪标的
012707,中银核心精选混合型证券投资基金,中银核心精选混合C,混合型-偏股,2021年11月24日,2021年12月28日 / 5.307亿份,0.11亿元,0.1109亿份,中银基金,招商银行,周斌,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*50%+恒生指数收益率*30%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的
012716,长盛创新先锋灵活配置混合型证券投资基金,长盛创新先锋混合C,混合型-灵活,2008年04月16日,2021年07月08日 / --,0.01亿元,0.005亿份,长盛基金,中国银行,王远鸿,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,---,0.00%,1.50%,沪深300指数*65%+上证国债指数*35%,该基金无跟踪标的
012718,易方达中证科技50交易型开放式指数证券投资基金联接基金,易方达中证科技50ETF联接C,指数型-股票,2021年11月26日,2022年02月14日 / 2.955亿份,0.66亿元,0.5897亿份,易方达基金,中国银行,张湛,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证科技50指数收益率*95%+活期存款利率(税后)*5%,中证科技50指数
012734,易方达中证人工智能主题交易型开放式指数证券投资基金联接基金,易方达中证人工智能主题ETF联接C,指数型-股票,2021年11月26日,2022年03月01日 / 2.289亿份,76.17亿元,43.0197亿份,易方达基金,工商银行,张湛,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,中证人工智能主题指数收益率*95%+活期存款利率(税后)*5%,中证人工智能主题指数
012780,博时移动互联主题混合型证券投资基金,博时移动互联主题混合C,混合型-偏股,2021年07月26日,2021年09月29日 / 2.328亿份,0.12亿元,0.0873亿份,博时基金,交通银行,郭晓林,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,中证移动互联网指数收益率×70%+中证港股通综合指数收益率×10%+中债综合财富(总值)指数收益率×20%,该基金无跟踪标的
012793,长城科创板两年定期开放混合型证券投资基金,长城科创两年定开混合C,混合型-偏股,2021年08月04日,2021年09月01日 / 4.261亿份,0.08亿元,0.075亿份,长城基金,农业银行,赵凤飞,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中国战略新兴产业成份指数收益率*65%+中证港股通综合指数收益率(使用估值汇率折算)*10%+中债总指数收益率*25%,该基金无跟踪标的
012800,宏利转型机遇股票型证券投资基金,宏利转型机遇股票C,股票型,2014年10月23日,2021年07月12日 / --,3.22亿元,0.7254亿份,宏利基金,中国银行,孟杰,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.30%（每年）,---,0.00%,1.50%,中证800指数收益率*85%+中证综合债指数收益率*15%,该基金无跟踪标的
012808,鹏华中证A股资源产业指数型证券投资基金(LOF),鹏华中证A股资源产业指数(LOF)C,指数型-股票,2012年08月27日,2021年07月19日 / --,0.22亿元,0.1453亿份,鹏华基金,工商银行,闫冬,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.10%（每年）,---,0.00%,1.50%,中证A股资源产业指数收益率*95%+银行活期存款利率(税后)*5%,A股资源
012809,鹏华中证沪港深科技龙头指数证券投资基金(LOF),鹏华中证沪港深科技龙头指数(LOF)C,指数型-股票,2021年10月11日,2021年12月07日 / 2.288亿份,0.39亿元,0.3336亿份,鹏华基金,招商银行,钟成亮,每份累计0.00元,0.60%（每年）,0.15%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证沪港深科技龙头指数收益率*95%+银行活期存款利率(税后)*5%,中证沪港深科技龙头指数
012836,招商景气精选股票型证券投资基金,招商景气精选股票C,股票型,2021年07月08日,2021年07月20日 / 17.124亿份,1.50亿元,1.0873亿份,招商基金,交通银行,梁辰,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*80%+恒生综合指数收益率(经汇率调整后)*10%+中债综合(全价)指数收益率*10%,该基金无跟踪标的
012838,华安CES半导体芯片行业指数型发起式证券投资基金,华安CES半导体芯片行业指数发起C,指数型-股票,2021年07月21日,2021年08月03日 / 0.490亿份,1.74亿元,1.7081亿份,华安基金,招商银行,刘璇子,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中华交易服务半导体芯片行业指数收益率*95%+商业银行税后活期存款利率*5%,中华交易服务半导体芯片行业人民币指数
012895,天弘中证科创创业50交易型开放式指数证券投资基金联接基金,天弘中证科创创业50ETF联接C,指数型-股票,2021年07月05日,2021年07月16日 / 29.977亿份,22.42亿元,22.147亿份,天弘基金,国泰海通,张戈,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,中证科创创业50指数收益率*95%+银行活期存款利率(税后)*5%,中证科创创业50指数
012899,兴银中证科创创业50指数型证券投资基金,兴银中证科创创业50指数C,指数型-股票,2021年07月05日,2021年07月14日 / 6.309亿份,3.41亿元,3.2887亿份,兴银基金管理,兴业银行,林学晨,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,中证科创创业50指数收益率*95%+银行活期存款利率(税后)*5%,中证科创创业50指数
012901,招商创业板指数增强型证券投资基金,招商创业板指数增强C,指数型-股票,2021年10月11日,2021年11月16日 / 2.890亿份,2.15亿元,2.4136亿份,招商基金,中国银河,文雨,每份累计0.00元,1.20%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,创业板指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,创业板指数(价格)
012908,鹏扬中证科创创业50交易型开放式指数证券投资基金联接基金,鹏扬中证科创创业50ETF联接C,指数型-股票,2021年07月05日,2021年07月16日 / 27.188亿份,5.32亿元,5.1274亿份,鹏扬基金,农业银行,施红俊,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证科创创业50指数收益率*95%+银行活期存款利率(税后)*5%,中证科创创业50指数
012922,易方达全球成长精选混合型证券投资基金(QDII),易方达全球成长精选混合(QDII)人民币C,QDII-混合偏股,2021年12月21日,2022年01月11日 / 4.367亿份,38.80亿元,17.0791亿份,易方达基金,宁波银行,郑希,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*65%+标普全球1200指数(使用估值汇率折算)收益率*20%+中债总指数收益率*15%,该基金无跟踪标的
012964,招商稳健平衡混合型证券投资基金,招商稳健平衡混合C,混合型-平衡,2021年09月15日,2021年10月19日 / 2.199亿份,0.79亿元,0.4961亿份,招商基金,中国银河,李崟,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.70%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*45%+恒生综合指数收益率(经汇率调整后)*5%+中债综合(全价)指数收益率*50%,该基金无跟踪标的
012970,鹏华国证半导体芯片交易型开放式指数证券投资基金联接基金,鹏华国证半导体芯片ETF联接C,指数型-股票,2021年08月02日,2021年08月24日 / 2.334亿份,6.43亿元,5.5886亿份,鹏华基金,申万宏源证券,罗英宇,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,国证半导体芯片指数收益率*95%+活期存款利率(税后)*5%,国证半导体芯片指数
013010,万家港股通精选混合型证券投资基金,万家港股通精选混合C,混合型-偏股,2021年12月13日,2022年01月05日 / 3.509亿份,5.06亿元,4.4772亿份,万家基金,招商银行,刘宏达,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,恒生指数收益率*70%+沪深300指数收益率*10%+中证全债指数收益率*20%,该基金无跟踪标的
013050,兴业能源革新股票型证券投资基金,兴业能源革新股票C,股票型,2021年08月16日,2021年08月31日 / 12.410亿份,2.89亿元,2.7247亿份,兴业基金,招商银行,邹慧,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证新能源指数收益率*80%+中证全债指数收益率*20%,该基金无跟踪标的
013081,中信保诚中证800有色指数型证券投资基金(LOF),中信保诚中证800有色指数(LOF)C,指数型-股票,2013年08月05日,2021年08月26日 / --,1.91亿元,0.7743亿份,中信保诚基金,中国银行,黄稚,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,中证800有色金属指数收益率*95%+金融同业存款利率*5%,中证800有色
013084,中信保诚中证智能家居指数型证券投资基金(LOF),中信保诚中证智能家居指数(LOF)C,指数型-股票,2015年06月08日,2021年08月26日 / --,0.29亿元,0.2302亿份,中信保诚基金,中国银行,黄稚,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,中证智能家居指数收益率*95%+金融同业存款利率*5%,中证智能家居指数
013096,安信远见成长混合型证券投资基金,安信远见成长混合C,混合型-偏股,2021年12月27日,2022年03月08日 / 21.822亿份,3.02亿元,2.3878亿份,安信基金,招商银行,张竞,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*60%+恒生指数收益率(经汇率调整后)*20%+中债新综合全价(总值)收益率*15%+人民币活期存款利率(税后)*5%,该基金无跟踪标的
013108,华夏先进制造龙头混合型证券投资基金,华夏先进制造龙头混合C,混合型-偏股,2021年09月07日,2021年11月16日 / 2.263亿份,1.68亿元,1.0853亿份,华夏基金,招商银行,高翔,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合(全价)指数收益率*20%,该基金无跟踪标的
013116,华安文体健康主题灵活配置混合型证券投资基金,华安文体健康混合C,混合型-灵活,2017年05月08日,2021年08月23日 / --,3.96亿元,0.8721亿份,华安基金,中国银行,刘畅畅、桑翔宇,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,---,0.00%,1.50%,中证800指数收益率*50%+中国债券总指数收益率*50%,该基金无跟踪标的
013122,中信保诚中证TMT产业主题指数型证券投资基金(LOF),中信保诚中证TMT(LOF)C,指数型-股票,2014年11月10日,2021年08月26日 / --,0.22亿元,0.1856亿份,中信保诚基金,建设银行,黄稚、HAN YILING,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,中证TMT产业主题指数收益率*95%+金融同业存款利率*5%,中证TMT产业主题指数
013142,华商乐享互联灵活配置混合型证券投资基金,华商乐享互联灵活配置混合C,混合型-灵活,2015年11月18日,2021年07月30日 / --,2.59亿元,1.0573亿份,华商基金,工商银行,余懿,每份累计0.27元,1.20%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,中证800指数收益率*65%+上证国债指数收益率*35%,该基金无跟踪标的
013153,长信电子信息行业量化灵活配置混合型证券投资基金,长信电子信息量化灵活配置混合C,混合型-灵活,2016年06月27日,2021年08月12日 / --,0.87亿元,0.5082亿份,长信基金,交通银行,左金保、宋海岸,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,中证TMT产业主题指数收益率*60%+中证综合债指数收益率*40%,该基金无跟踪标的
013167,东兴宸祥量化混合型证券投资基金,东兴宸祥量化混合C,混合型-偏股,2021年11月26日,2022年01月28日 / 2.329亿份,0.27亿元,0.1889亿份,东兴基金,长江证券,李兵伟,每份累计0.00元,1.20%（每年）,0.10%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*80%+中债综合指数收益率*20%,该基金无跟踪标的
013277,富国创业板交易型开放式指数证券投资基金联接基金,富国创业板ETF联接C,指数型-股票,2018年12月19日,2021年08月17日 / --,6.14亿元,5.2925亿份,富国基金,建设银行,曹璐迪,每份累计0.12元,0.15%（每年）,0.05%（每年）,0.20%（每年）,---,0.00%,1.50%,创业板指数收益率*95%+银行活期存款利率(税后)*5%,创业板指数(价格)
013278,富国中证体育产业指数型证券投资基金(LOF),富国中证体育产业指数(LOF)C,指数型-股票,2018年12月19日,2021年08月17日 / --,0.53亿元,0.4359亿份,富国基金,建设银行,张圣贤,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.20%（每年）,---,0.00%,1.50%,中证体育产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,中证体育产业指数
013292,富国中证智能汽车指数证券投资基金(LOF),富国中证智能汽车(LOF)C,指数型-股票,2018年12月19日,2021年08月24日 / --,1.72亿元,0.7602亿份,富国基金,工商银行,张圣贤,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.20%（每年）,---,0.00%,1.50%,中证智能汽车主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,中证智能汽车主题指数
013299,南方中证科创创业50交易型开放式指数证券投资基金联接基金,南方中证科创创业50ETF联接C,指数型-股票,2021年08月09日,2021年08月19日 / 5.122亿份,3.34亿元,3.1161亿份,南方基金,招商银行,崔蕾,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证科创创业50指数收益率*95%+银行活期存款利率(税后)*5%,中证科创创业50指数
013303,招商中证科创创业50交易型开放式指数证券投资基金联接基金,招商中证科创创业50ETF联接C,指数型-股票,2021年08月09日,2021年08月24日 / 2.507亿份,3.51亿元,3.1238亿份,招商基金,华泰证券,房俊一,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证科创创业50指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,中证科创创业50指数
